url_length,has_https,has_ip_address,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at_symbols,num_ampersands,num_digits,domain_length,path_length,subdomain_count,has_suspicious_words,domain_age_days,alexa_rank,google_index,page_rank,dns_record,web_traffic,links_in_tags,links_pointing_to_page,statistical_report,label
112,0,0,4,4,1,7,2,2,0,1,19,24,98,4,1,817,905611,1,6,1,70657,9,41,1,1
189,1,0,4,1,0,7,2,2,0,2,14,18,18,0,1,893,551297,1,8,1,84618,8,70,0,1
102,1,1,9,1,0,6,0,0,0,0,8,27,20,2,1,3187,6272,1,4,1,78444,15,168,1,1
24,0,0,8,4,2,4,0,2,0,0,18,46,72,0,0,3352,450832,0,0,1,50244,44,162,0,1
116,1,0,4,4,1,2,0,2,0,3,13,13,10,0,0,372,779543,1,3,0,83920,48,17,0,0
81,1,0,6,4,0,3,0,2,0,0,1,14,34,1,0,2854,596132,1,5,1,31012,4,384,0,0
198,1,0,7,2,0,6,1,3,0,1,19,30,73,1,1,3493,870947,1,4,1,60789,41,171,0,1
30,0,0,8,1,2,1,1,0,0,3,17,4,40,0,0,121,690332,1,7,0,55038,25,174,0,1
112,1,0,4,4,0,2,0,4,0,2,10,40,58,2,0,3342,871339,1,0,1,94885,45,121,0,0
131,0,0,1,4,1,4,0,1,0,0,10,14,5,0,0,2719,414931,1,0,1,18858,40,428,0,0
84,1,0,5,2,1,3,2,0,0,1,17,27,20,2,0,1468,930866,1,9,0,45198,41,101,0,0
97,1,0,1,3,1,7,1,3,0,1,0,4,13,4,0,1343,95149,0,9,1,19754,3,414,0,0
126,1,0,4,1,0,4,2,4,0,3,7,35,42,3,0,1587,502971,1,5,1,95145,18,146,1,0
109,0,0,7,3,0,3,0,4,0,2,0,15,49,2,1,2402,43629,0,1,1,2794,40,11,0,1
113,0,0,7,3,1,4,2,1,0,2,8,47,38,1,1,3351,896071,1,3,1,84814,14,281,1,1
161,1,0,1,4,0,7,0,4,0,3,6,26,44,2,0,995,498631,1,1,1,25794,30,4,0,0
140,1,0,9,2,2,3,1,0,0,3,16,22,75,3,1,935,79094,1,3,1,3719,8,479,0,1
159,1,0,2,1,1,7,2,4,1,3,16,22,97,0,1,122,217647,1,8,0,31028,10,464,0,1
62,1,1,5,1,2,5,2,3,0,2,11,49,38,4,1,2216,137877,1,0,1,17613,38,123,0,0
11,1,0,6,1,2,7,2,4,0,1,0,14,50,4,0,113,402456,1,1,1,88022,28,267,0,0
97,1,0,1,3,0,4,1,3,1,2,2,45,61,3,1,1625,367432,0,2,1,52165,38,135,0,1
167,0,0,2,0,0,3,1,4,0,0,14,47,9,4,0,1124,805968,1,3,1,84239,43,84,0,0
47,0,0,7,2,1,1,2,1,0,2,7,39,73,2,1,2856,39126,0,7,1,85841,14,15,0,1
139,0,0,6,0,0,7,2,0,0,2,11,45,37,0,0,534,936215,1,8,1,76774,36,138,1,1
197,1,0,6,3,2,3,2,3,0,0,16,10,88,2,0,530,844265,1,1,1,3240,1,342,0,0
30,1,0,6,4,0,1,0,4,1,3,5,38,11,3,0,3245,941442,1,2,1,44995,22,10,0,0
170,1,0,7,0,1,6,0,2,0,0,11,48,64,1,0,1162,550140,1,5,1,26294,8,205,0,0
67,0,0,9,0,0,2,0,2,0,3,10,35,89,4,1,2098,877569,1,1,1,70037,12,454,0,1
31,0,0,9,2,2,3,1,0,0,0,1,33,35,3,1,3118,311012,1,2,1,20669,46,479,0,0
98,0,0,2,3,2,2,2,3,0,0,19,40,12,0,1,3089,767753,1,9,1,68443,49,267,0,1
58,1,0,2,2,1,2,0,1,0,3,15,31,18,1,1,1115,880606,1,6,1,20480,13,43,0,0
68,1,0,5,4,1,5,2,1,0,0,19,20,55,0,0,1742,917132,1,3,1,68486,36,354,0,0
179,1,0,7,1,0,6,1,0,0,1,3,22,30,2,1,3495,116926,1,4,1,83609,20,298,0,1
197,0,0,3,3,0,3,0,1,0,0,8,46,92,1,0,2079,735500,1,4,1,51210,17,408,0,0
24,0,0,3,4,1,5,2,4,0,2,16,10,26,4,0,974,464794,0,3,1,64453,1,188,0,1
199,0,1,4,4,2,6,1,0,0,3,16,42,82,1,1,957,696771,1,5,1,1787,18,33,0,1
199,0,0,3,0,0,7,1,3,0,3,1,48,52,2,1,2468,708819,1,2,0,29951,33,450,0,1
184,1,0,3,2,1,5,0,1,0,3,10,39,11,4,0,2471,135407,1,8,1,71629,22,121,0,0
199,0,0,8,0,1,7,1,4,0,1,5,26,59,2,0,1714,696832,1,6,1,95830,20,46,0,1
60,1,0,7,0,2,2,1,1,0,2,18,3,87,2,1,911,76586,1,4,0,45277,35,422,0,0
117,1,0,7,1,1,7,0,0,0,0,16,5,20,4,0,2244,500671,1,5,1,51852,48,44,0,1
64,1,0,2,2,0,4,2,0,0,2,15,40,23,4,1,1966,528253,1,6,1,527,22,273,0,1
73,1,0,9,1,0,2,1,1,0,3,16,13,61,2,0,3460,309088,1,5,1,11815,40,20,1,0
140,1,0,6,4,1,6,2,0,1,2,14,44,21,2,1,1387,763054,1,5,1,87338,3,62,0,1
60,0,1,3,1,1,6,2,2,0,3,12,42,30,4,0,3160,739434,1,0,1,47122,26,479,0,1
144,1,0,9,4,2,2,2,0,0,3,16,43,82,2,0,1591,454904,1,0,1,21705,42,370,0,0
30,1,0,9,0,2,6,0,3,0,1,7,41,12,0,1,2423,922129,1,5,1,12382,46,409,0,0
82,0,0,6,1,1,1,1,1,0,3,8,45,97,0,0,1395,752383,1,8,0,55432,21,80,0,1
176,1,0,6,2,0,4,0,2,0,2,7,5,41,0,0,138,775897,1,9,1,54277,12,473,0,1
27,1,0,8,1,2,2,2,1,0,1,16,23,33,0,0,3623,925967,1,8,1,7376,17,67,1,0
